X,Y,Scaled_X,Scaled_Y
-121.74472589,38.53956016,165.8655007672332,215.6426411525746
-121.74466752,38.53958496,166.54840368381477,216.41655042414766
-121.74461637,38.53961023,167.14683582658506,217.20512652476353
-121.74457235,38.53963679,167.66185015566276,218.03395838991605
-121.74453326,38.53966294,168.11918568774814,218.84999578709994
-121.74449375,38.53968914,168.58143503205827,219.6675934853638
-121.74444878,38.53971347,169.10756393661995,220.42683592811574
-121.74440401,38.53973815,169.63135293052719,221.19700047731862
-121.74436057,38.5397626,170.1395815187236,221.9599876424407
-121.74431508,38.53978576,170.6717941907541,222.6827190428044
-121.7442735,38.53980697,171.1582616101467,223.34459870615
-121.74423131,38.53982415,171.65186575696055,223.88071811287332
-121.74418451,38.53983958,172.19940484378608,224.3622269862331
-121.74413424,38.53985448,172.78754137994275,224.82719666969763
-121.74408069,38.53986674,173.41405245023404,225.20978246279287
-121.74402775,38.53987945,174.0334267932703,225.60641096449902
-121.74397861,38.53989187,174.6083428343706,225.99398972060663
-121.74392657,38.53990304,175.2171875795449,226.34256095304158
-121.74387394,38.53991265,175.83293506105846,226.64245079577339
-121.7438217,38.53992109,176.44411971688723,226.90582959633866
-121.74376947,38.53992853,177.05518737709184,227.13800237774404
-121.74371627,38.53993535,177.67760360402877,227.35082742753195
-121.74366118,38.53994068,178.32213198614326,227.51715550890688
-121.74360293,38.5399446,179.00363095639867,227.63948310337506
-121.74354455,38.53994838,179.68665086843816,227.7574418552628
-121.74348788,38.5399514,180.34966454453996,227.851684032731
-121.74343383,38.53995024,180.98202539155054,227.81548505078047
-121.7434023,38.539949,181.35091230192816,227.77678958710203
-121.74337373,38.53994992,181.6851685349856,227.805499124534
-121.74335136,38.53994937,181.9468875385861,227.7883358142067
-121.74333232,38.53994879,182.16964703042996,227.77023632300973
-121.74331535,38.5399465,182.3681884470251,227.69877453953492
-121.74329961,38.5399428,182.55233941348604,227.58331226915334
-121.7432823,38.53993769,182.75485867814388,227.4238495120867
-121.74326179,38.53993205,182.99481651294053,227.24784756468128
-121.74324767,38.53992996,183.16001420324997,227.1826269850828
-121.74323062,38.53992498,183.3594915841734,227.02722101038057
-121.74321189,38.53991976,183.57862421449454,226.86432559093805
-121.7431875,38.53991952,183.86397631538918,226.8568361464195
-121.74315641,38.53992101,184.22771542246002,226.90333311483246
-121.74313322,38.53992318,184.49902805959417,226.97105017615885
-121.74310812,38.53992579,184.79268684332047,227.0524978856584
-121.74308295,38.53992789,185.08716459575086,227.1180305256946
-121.74305324,38.53992668,185.43475831948882,227.0802712426641
-121.74301764,38.53992486,185.85126241099474,227.02347628801044
-121.74297219,38.53992304,186.38300710102737,226.96668133335675
-121.74291781,38.53991933,187.01922880064274,226.85090700275916
-121.74285556,38.53991571,187.74752598332228,226.7379412141055
-121.74279112,38.53991357,188.5014451872442,226.67116033342708
-121.74272695,38.53991279,189.2522055119738,226.6468196385755
-121.74266414,38.53991168,189.98705444445258,226.6121809574832
-121.74260438,38.5399097,190.68621973982496,226.55039303981712
-121.742544,38.53990639,191.39263875824278,226.44710111675047
-121.74248568,38.53990397,192.07495669703607,226.37158255068954
-121.74243087,38.53990314,192.71620920433406,226.34568155497976
-121.74238217,38.53990243,193.28597744212757,226.32352528141837
-121.74233796,38.53989924,193.80321468623555,226.22397808072185
-121.74229969,38.53989628,194.2509565847873,226.1316082645496
-121.74226864,38.539894,194.61422770952774,226.06045854106907
-121.74224231,38.53989166,194.92227694372076,225.98743645673608
-121.74222296,38.53988841,195.14866329675482,225.88601689496534
-121.74220911,38.53988713,195.31070210770568,225.84607319042294
-121.74219828,38.5398879,195.43740826825638,225.87010182505855
-121.74218824,38.53988768,195.55487178164714,225.86323650097196
-121.74217881,38.5398886,195.66519856778285,225.89194603840394
-121.74216938,38.53989001,195.77552535375233,225.93594652531073
-121.74216105,38.53989192,195.87298263137168,225.9955500216866
-121.74215417,38.53989717,195.953475556954,226.15938162155535
-121.74214582,38.53990357,196.05116682565543,226.35910014315863
-121.74213685,38.53991178,196.1561118174023,226.61530155919962
-121.7421244,38.53992183,196.3017712539382,226.92892205032626
-121.74210543,38.53993282,196.52371177691165,227.27187619931686
-121.74208657,38.53994458,196.74436534901687,227.63885898294308
-121.74206886,38.53995677,196.95156443498362,228.01926035496987
-121.74205322,38.53996811,197.1345454460342,228.37313661041145
-121.7420377,38.53997857,197.3161225107586,228.69955156950672
-121.74202341,38.53998743,197.48330912501626,228.97603689781317
-121.7420101,38.53999665,197.63903017724996,229.26375639323004
-121.74199634,38.54000617,197.80001602841463,229.56083769423964
-121.74198161,38.54001507,197.97235044614536,229.83857126363176
-121.74196562,38.54002964,198.15942630071655,230.29324296063382
-121.74195099,38.54004716,198.33059076303692,230.83997241381383
-121.74193773,38.54006576,198.48572683764857,231.42040436743818
-121.74192245,38.54008698,198.66449600955437,232.08259609099977
-121.74190673,38.54011143,198.84841298493322,232.84558325612184
-121.74189234,38.54013785,199.016769554435,233.67004627847226
-121.74187616,38.54016574,199.20606832420273,234.54038214880364
-121.741861,38.54019466,199.38343354978235,235.44286021872117
-121.74184722,38.54022341,199.5446533920291,236.34003326563206
-121.74183551,38.54025023,199.68165515919338,237.17697869551338
-121.74182458,38.54027407,199.80953127498816,237.92093018901224
-121.74181517,38.54029843,199.91962407004183,238.68110881219042
-121.7418083,38.54032297,200.0,239.44690451881291
-121.7418097,38.54034368,199.98362062558505,240.09318117268947
-121.74181843,38.54035717,199.88148352682305,240.51415036924718
-121.7418353,38.54036821,199.68411206530575,240.858664819096
-121.74185756,38.54038017,199.42368001257353,241.2318888065985
-121.74188513,38.54039012,199.1011233326221,241.542388695787
-121.74191901,38.54039929,198.70474247234554,241.82854789034565
-121.74195568,38.54040507,198.2757198588632,242.0089186801097
-121.74199539,38.54040916,197.81113060389862,242.13655129802794
-121.74203773,38.54041126,197.31577152405237,242.20208393784242
-121.74207759,38.54040895,196.84942733622162,242.12999803393564
-121.7421182,38.54040625,196.3743084833951,242.0457417824922
-121.74215765,38.54039891,195.91276111216496,241.81668960302497
-121.74219659,38.54039165,195.4571805129457,241.5901339048422
-121.74223777,38.54038298,194.97539291486206,241.31957771997435
-121.74227835,38.54037224,194.50062504857553,240.98442507594
-121.74231018,38.5403629,194.1282282722993,240.69296085815301
-121.74233933,38.54035318,193.78718629852685,240.3896383532671
-121.74236758,38.54034334,193.45667392228378,240.08257112623275
-121.74239926,38.54033875,193.08603207904,239.93933549884542
-121.74242496,38.54033478,192.7853535635166,239.81544760351906
-121.74245292,38.54033151,192.45823405771418,239.71340392131637
-121.74247521,38.54032666,192.19745101844197,239.56205472897852
-121.74249722,38.54032107,191.93994385381998,239.38761308265305
-121.7425186,38.54031674,191.68980740786762,239.252491020438
-121.74254103,38.54031322,191.42738643102092,239.14264583350075
-121.74256438,38.54030915,191.1542018652302,239.0156373360145
-121.74259043,38.54030425,190.84942850601993,238.86272784281843
-121.74261404,38.5402983,190.57320205649478,238.677052029826
