X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-121.74198161,38.54001507,0,0,153,,,,,,,,,,,,,,,,,,,,,,,
-121.74196562,38.54002964,0,0,154,,,,,,,,,,,,,,,,,,,,,,,
-121.74195099,38.54004716,0,0,155,,,,,,,,,,,,,,,,,,,,,,,
-121.74193773,38.54006576,0,0,156,,,,,,,,,,,,,,,,,,,,,,,
-121.74192245,38.54008698,0,0,157,,,,,,,,,,,,,,,,,,,,,,,
-121.74190673,38.54011143,0,0,158,,,,,,,,,,,,,,,,,,,,,,,
-121.74189234,38.54013785,0,0,159,,,,,,,,,,,,,,,,,,,,,,,
-121.74187616,38.54016574,0,0,160,,,,,,,,,,,,,,,,,,,,,,,
-121.741861,38.54019466,0,0,161,,,,,,,,,,,,,,,,,,,,,,,
-121.74184722,38.54022341,0,0,162,,,,,,,,,,,,,,,,,,,,,,,
-121.74183551,38.54025023,0,0,163,,,,,,,,,,,,,,,,,,,,,,,
-121.74182458,38.54027407,0,0,164,,,,,,,,,,,,,,,,,,,,,,,
-121.74181517,38.54029843,0,0,165,,,,,,,,,,,,,,,,,,,,,,,
-121.7418083,38.54032297,0,0,166,,,,,,,,,,,,,,,,,,,,,,,
-121.7418097,38.54034368,0,0,167,,,,,,,,,,,,,,,,,,,,,,,
-121.74181843,38.54035717,0,0,168,,,,,,,,,,,,,,,,,,,,,,,
-121.7418353,38.54036821,0,0,169,,,,,,,,,,,,,,,,,,,,,,,
-121.74185756,38.54038017,0,0,170,,,,,,,,,,,,,,,,,,,,,,,
-121.74188513,38.54039012,0,0,171,,,,,,,,,,,,,,,,,,,,,,,
-121.74191901,38.54039929,0,0,172,,,,,,,,,,,,,,,,,,,,,,,
-121.74195568,38.54040507,0,0,173,,,,,,,,,,,,,,,,,,,,,,,
-121.74199539,38.54040916,0,0,174,,,,,,,,,,,,,,,,,,,,,,,
-121.74203773,38.54041126,0,0,175,,,,,,,,,,,,,,,,,,,,,,,
-121.74207759,38.54040895,0,0,176,,,,,,,,,,,,,,,,,,,,,,,
-121.7421182,38.54040625,0,0,177,,,,,,,,,,,,,,,,,,,,,,,
-121.74215765,38.54039891,0,0,178,,,,,,,,,,,,,,,,,,,,,,,
-121.74219659,38.54039165,0,0,179,,,,,,,,,,,,,,,,,,,,,,,
-121.74223777,38.54038298,0,0,180,,,,,,,,,,,,,,,,,,,,,,,
-121.74227835,38.54037224,0,0,181,,,,,,,,,,,,,,,,,,,,,,,
-121.74231018,38.5403629,0,0,182,,,,,,,,,,,,,,,,,,,,,,,
-121.74233933,38.54035318,0,0,183,,,,,,,,,,,,,,,,,,,,,,,
-121.74236758,38.54034334,0,0,184,,,,,,,,,,,,,,,,,,,,,,,
-121.74239926,38.54033875,0,0,185,,,,,,,,,,,,,,,,,,,,,,,
-121.74242496,38.54033478,0,0,186,,,,,,,,,,,,,,,,,,,,,,,
-121.74245292,38.54033151,0,0,187,,,,,,,,,,,,,,,,,,,,,,,
-121.74247521,38.54032666,0,0,188,,,,,,,,,,,,,,,,,,,,,,,
-121.74249722,38.54032107,0,0,189,,,,,,,,,,,,,,,,,,,,,,,
-121.7425186,38.54031674,0,0,190,,,,,,,,,,,,,,,,,,,,,,,
-121.74254103,38.54031322,0,0,191,,,,,,,,,,,,,,,,,,,,,,,
-121.74256438,38.54030915,0,0,192,,,,,,,,,,,,,,,,,,,,,,,
-121.74259043,38.54030425,0,0,193,,,,,,,,,,,,,,,,,,,,,,,
-121.74261404,38.5402983,0,0,194,,,,,,,,,,,,,,,,,,,,,,,
-121.7426388,38.54029363,0,0,195,,,,,,,,,,,,,,,,,,,,,,,
-121.7426682,38.54028787,0,0,196,,,,,,,,,,,,,,,,,,,,,,,
-121.74269337,38.54028093,0,0,197,,,,,,,,,,,,,,,,,,,,,,,
-121.7427255,38.54027401,0,0,198,,,,,,,,,,,,,,,,,,,,,,,
-121.74275679,38.54026816,0,0,199,,,,,,,,,,,,,,,,,,,,,,,
-121.74279108,38.5402615,0,0,200,,,,,,,,,,,,,,,,,,,,,,,
-121.74282259,38.54025464,0,0,201,,,,,,,,,,,,,,,,,,,,,,,
-121.74285234,38.54024613,0,0,202,,,,,,,,,,,,,,,,,,,,,,,
-121.74288422,38.54023469,0,0,203,,,,,,,,,,,,,,,,,,,,,,,
-121.74291221,38.5402265,0,0,204,,,,,,,,,,,,,,,,,,,,,,,
-121.74293923,38.54021906,0,0,205,,,,,,,,,,,,,,,,,,,,,,,
-121.74296641,38.5402142,0,0,206,,,,,,,,,,,,,,,,,,,,,,,
-121.74299734,38.54021184,0,0,207,,,,,,,,,,,,,,,,,,,,,,,
-121.74302408,38.54021208,0,0,208,,,,,,,,,,,,,,,,,,,,,,,
-121.74305208,38.54021385,0,0,209,,,,,,,,,,,,,,,,,,,,,,,
-121.74308438,38.54021684,0,0,210,,,,,,,,,,,,,,,,,,,,,,,
-121.74312086,38.54022329,0,0,211,,,,,,,,,,,,,,,,,,,,,,,
-121.74316228,38.54023296,0,0,212,,,,,,,,,,,,,,,,,,,,,,,
-121.74320864,38.54024277,0,0,213,,,,,,,,,,,,,,,,,,,,,,,
-121.74325276,38.5402513,0,0,214,,,,,,,,,,,,,,,,,,,,,,,
-121.74329691,38.54025796,0,0,215,,,,,,,,,,,,,,,,,,,,,,,
-121.74334156,38.54026365,0,0,216,,,,,,,,,,,,,,,,,,,,,,,
-121.74338253,38.54027096,0,0,217,,,,,,,,,,,,,,,,,,,,,,,
-121.74342412,38.5402794,0,0,218,,,,,,,,,,,,,,,,,,,,,,,
-121.74346715,38.54028713,0,0,219,,,,,,,,,,,,,,,,,,,,,,,
-121.74350871,38.54029284,0,0,220,,,,,,,,,,,,,,,,,,,,,,,
-121.74355615,38.54029441,0,0,221,,,,,,,,,,,,,,,,,,,,,,,
-121.74360776,38.54029206,0,0,222,,,,,,,,,,,,,,,,,,,,,,,
-121.74366619,38.54028523,0,0,223,,,,,,,,,,,,,,,,,,,,,,,
-121.74372547,38.54027647,0,0,224,,,,,,,,,,,,,,,,,,,,,,,
-121.74378416,38.5402663,0,0,225,,,,,,,,,,,,,,,,,,,,,,,
-121.74384661,38.54025692,0,0,226,,,,,,,,,,,,,,,,,,,,,,,
-121.74390786,38.54024912,0,0,227,,,,,,,,,,,,,,,,,,,,,,,
-121.74397016,38.54024153,0,0,228,,,,,,,,,,,,,,,,,,,,,,,
-121.74403471,38.54023522,0,0,229,,,,,,,,,,,,,,,,,,,,,,,
-121.74409731,38.540227,0,0,230,,,,,,,,,,,,,,,,,,,,,,,
-121.744161,38.54021804,0,0,231,,,,,,,,,,,,,,,,,,,,,,,
-121.74422397,38.54020818,0,0,232,,,,,,,,,,,,,,,,,,,,,,,
-121.74428761,38.54020052,0,0,233,,,,,,,,,,,,,,,,,,,,,,,
-121.74435091,38.54019259,0,0,234,,,,,,,,,,,,,,,,,,,,,,,
-121.74441485,38.54018701,0,0,235,,,,,,,,,,,,,,,,,,,,,,,
-121.74447639,38.54018247,0,0,236,,,,,,,,,,,,,,,,,,,,,,,
-121.74453339,38.54018001,0,0,237,,,,,,,,,,,,,,,,,,,,,,,
-121.74458713,38.54018089,0,0,238,,,,,,,,,,,,,,,,,,,,,,,
-121.74463482,38.54018267,0,0,239,,,,,,,,,,,,,,,,,,,,,,,
-121.74467959,38.54018656,0,0,240,,,,,,,,,,,,,,,,,,,,,,,
-121.74472047,38.54019108,0,0,241,,,,,,,,,,,,,,,,,,,,,,,
-121.74475939,38.54019592,0,0,242,,,,,,,,,,,,,,,,,,,,,,,
-121.74479477,38.54020071,0,0,243,,,,,,,,,,,,,,,,,,,,,,,
-121.74482558,38.54020663,0,0,244,,,,,,,,,,,,,,,,,,,,,,,
-121.74485586,38.54021069,0,0,245,,,,,,,,,,,,,,,,,,,,,,,
-121.74488391,38.54021391,0,0,246,,,,,,,,,,,,,,,,,,,,,,,
-121.74490964,38.54021632,0,0,247,,,,,,,,,,,,,,,,,,,,,,,
-121.74493562,38.54021947,0,0,248,,,,,,,,,,,,,,,,,,,,,,,
-121.74496365,38.54022019,0,0,249,,,,,,,,,,,,,,,,,,,,,,,
-121.74499322,38.54021622,0,0,250,,,,,,,,,,,,,,,,,,,,,,,
-121.74502501,38.5402084,0,0,251,,,,,,,,,,,,,,,,,,,,,,,
-121.74505848,38.5401997,0,0,252,,,,,,,,,,,,,,,,,,,,,,,
-121.7450938,38.54019039,0,0,253,,,,,,,,,,,,,,,,,,,,,,,
-121.74513164,38.5401806,0,0,254,,,,,,,,,,,,,,,,,,,,,,,
-121.74517017,38.54016815,0,0,255,,,,,,,,,,,,,,,,,,,,,,,
-121.74520621,38.54015583,0,0,256,,,,,,,,,,,,,,,,,,,,,,,
-121.74524122,38.54014326,0,0,257,,,,,,,,,,,,,,,,,,,,,,,
-121.7452765,38.54013089,0,0,258,,,,,,,,,,,,,,,,,,,,,,,
-121.74531273,38.5401187,0,0,259,,,,,,,,,,,,,,,,,,,,,,,
-121.74534925,38.54010754,0,0,260,,,,,,,,,,,,,,,,,,,,,,,
-121.74538445,38.54009948,0,0,261,,,,,,,,,,,,,,,,,,,,,,,
-121.74541849,38.54009732,0,0,262,,,,,,,,,,,,,,,,,,,,,,,
-121.74544954,38.54010087,0,0,263,,,,,,,,,,,,,,,,,,,,,,,
-121.74547961,38.54010986,0,0,264,,,,,,,,,,,,,,,,,,,,,,,
-121.74550749,38.54012265,0,0,265,,,,,,,,,,,,,,,,,,,,,,,
-121.74553214,38.54013788,0,0,266,,,,,,,,,,,,,,,,,,,,,,,
-121.74555602,38.5401512,0,0,267,,,,,,,,,,,,,,,,,,,,,,,
-121.74558084,38.5401619,0,0,268,,,,,,,,,,,,,,,,,,,,,,,
-121.74560707,38.54017076,0,0,269,,,,,,,,,,,,,,,,,,,,,,,
-121.74563511,38.54017932,0,0,270,,,,,,,,,,,,,,,,,,,,,,,
-121.7456662,38.54018684,0,0,271,,,,,,,,,,,,,,,,,,,,,,,
-121.74569346,38.5401939,0,0,272,,,,,,,,,,,,,,,,,,,,,,,
-121.74572212,38.54020054,0,0,273,,,,,,,,,,,,,,,,,,,,,,,
-121.74575399,38.54020518,0,0,274,,,,,,,,,,,,,,,,,,,,,,,
-121.745788,38.54020752,0,0,275,,,,,,,,,,,,,,,,,,,,,,,
-121.7458215,38.54020609,0,0,276,,,,,,,,,,,,,,,,,,,,,,,
-121.74585519,38.54020197,0,0,277,,,,,,,,,,,,,,,,,,,,,,,
-121.74588764,38.54019455,0,0,278,,,,,,,,,,,,,,,,,,,,,,,
-121.74592102,38.54018729,0,0,279,,,,,,,,,,,,,,,,,,,,,,,
-121.74595387,38.54018009,0,0,280,,,,,,,,,,,,,,,,,,,,,,,
-121.745991,38.54017296,0,0,281,,,,,,,,,,,,,,,,,,,,,,,
-121.74602786,38.5401644,0,0,282,,,,,,,,,,,,,,,,,,,,,,,
-121.74606159,38.54015447,0,0,283,,,,,,,,,,,,,,,,,,,,,,,
-121.74609278,38.54014592,0,0,284,,,,,,,,,,,,,,,,,,,,,,,
-121.74612018,38.54013807,0,0,285,,,,,,,,,,,,,,,,,,,,,,,
-121.74614736,38.54012901,0,0,286,,,,,,,,,,,,,,,,,,,,,,,
-121.74617316,38.54011965,0,0,287,,,,,,,,,,,,,,,,,,,,,,,
-121.74619832,38.54011032,0,0,288,,,,,,,,,,,,,,,,,,,,,,,
-121.74622618,38.54010154,0,0,289,,,,,,,,,,,,,,,,,,,,,,,
-121.74625416,38.54009137,0,0,290,,,,,,,,,,,,,,,,,,,,,,,
-121.74628249,38.54007976,0,0,291,,,,,,,,,,,,,,,,,,,,,,,
-121.74631107,38.54006876,0,0,292,,,,,,,,,,,,,,,,,,,,,,,
-121.74634204,38.54005843,0,0,293,,,,,,,,,,,,,,,,,,,,,,,
-121.74637364,38.54004731,0,0,294,,,,,,,,,,,,,,,,,,,,,,,
-121.74640382,38.5400357,0,0,295,,,,,,,,,,,,,,,,,,,,,,,
-121.74643646,38.54002385,0,0,296,,,,,,,,,,,,,,,,,,,,,,,
-121.74646671,38.54001133,0,0,297,,,,,,,,,,,,,,,,,,,,,,,
-121.74649735,38.53999927,0,0,298,,,,,,,,,,,,,,,,,,,,,,,
-121.7465284,38.53998798,0,0,299,,,,,,,,,,,,,,,,,,,,,,,
-121.7465616,38.53997488,0,0,300,,,,,,,,,,,,,,,,,,,,,,,
-121.74659422,38.53995864,0,0,301,,,,,,,,,,,,,,,,,,,,,,,
-121.74662401,38.5399413,0,0,302,,,,,,,,,,,,,,,,,,,,,,,
-121.74665196,38.53992458,0,0,303,,,,,,,,,,,,,,,,,,,,,,,
-121.74667949,38.53990828,0,0,304,,,,,,,,,,,,,,,,,,,,,,,
-121.74670381,38.53989398,0,0,305,,,,,,,,,,,,,,,,,,,,,,,
-121.74672659,38.53988027,0,0,306,,,,,,,,,,,,,,,,,,,,,,,
-121.74674351,38.53987022,0,0,307,,,,,,,,,,,,,,,,,,,,,,,
-121.74674512,38.5398667,0,0,308,,,,,,,,,,,,,,,,,,,,,,,
-121.7467382,38.539868,0,0,309,,,,,,,,,,,,,,,,,,,,,,,
-121.74672678,38.5398715,0,0,310,,,,,,,,,,,,,,,,,,,,,,,
-121.74671535,38.53987835,0,0,311,,,,,,,,,,,,,,,,,,,,,,,
-121.74670689,38.53988866,0,0,312,,,,,,,,,,,,,,,,,,,,,,,
-121.74670087,38.53990148,0,0,313,,,,,,,,,,,,,,,,,,,,,,,
-121.74670022,38.53991972,0,0,314,,,,,,,,,,,,,,,,,,,,,,,
-121.74670058,38.53993907,0,0,315,,,,,,,,,,,,,,,,,,,,,,,
-121.74670129,38.53995913,0,0,316,,,,,,,,,,,,,,,,,,,,,,,
-121.74670184,38.53997958,0,0,317,,,,,,,,,,,,,,,,,,,,,,,
-121.74670253,38.54000233,0,0,318,,,,,,,,,,,,,,,,,,,,,,,
-121.74670279,38.54002599,0,0,319,,,,,,,,,,,,,,,,,,,,,,,
-121.74670083,38.54004849,0,0,320,,,,,,,,,,,,,,,,,,,,,,,
-121.74669738,38.54006835,0,0,321,,,,,,,,,,,,,,,,,,,,,,,
-121.7466958,38.54008305,0,0,322,,,,,,,,,,,,,,,,,,,,,,,
-121.74669553,38.54009581,0,0,323,,,,,,,,,,,,,,,,,,,,,,,
