X,Y
13.57,81.53
13.53,81.49
13.52,81.28
13.53,81.0
13.57,80.66
13.69,80.39
13.87,80.25
14.1,80.21
14.42,80.24
14.78,80.41
15.17,80.6
15.61,80.83
16.07,81.1
16.52,81.3
16.98,81.47
17.46,81.68
17.94,81.96
18.36,82.45
18.68,83.13
18.92,83.68
19.14,84.27
19.28,84.93
19.32,85.62
19.34,86.38
19.36,87.14
19.38,87.81
19.37,88.5
19.37,89.12
19.36,89.62
19.39,90.24
19.42,90.82
19.46,91.35
19.48,91.9
19.46,92.41
19.4,92.83
19.33,93.33
19.26,93.94
19.18,94.6
19.12,95.31
19.08,96.07
19.07,96.91
19.05,97.76
19.02,98.69
19.08,99.62
19.24,100.52
19.46,102.32
19.44,103.13
19.36,103.9
19.3,104.57
19.35,105.25
19.41,105.87
19.46,106.53
19.51,107.24
19.55,108.04
19.57,108.87
19.58,109.66
19.67,110.22
19.86,110.73
20.15,111.26
20.49,111.79
20.87,112.3
21.29,112.66
21.69,112.73
22.08,112.63
22.47,112.55
22.86,112.53
23.27,112.56
23.71,112.7
24.14,112.93
24.5,113.3
24.76,113.81
24.92,114.41
25.02,115.05
25.04,115.72
24.99,116.41
24.89,117.16
24.74,117.94
24.5,118.75
24.22,119.57
23.9,120.44
23.54,121.25
23.1,121.88
22.59,122.34
22.02,122.66
21.39,122.92
20.72,123.05
19.97,123.05
19.18,123.06
18.35,123.04
17.66,123.01
17.0,122.9
16.39,122.8
15.9,122.66
15.18,122.4
14.36,122.22
13.47,122.02
12.54,121.86
11.66,121.61
10.76,121.35
9.89,121.11
9.06,120.87
8.26,120.62
7.48,120.41
6.76,120.23
6.08,120.11
5.45,120.07
4.87,120.08
4.33,120.08
3.81,120.05
3.33,120.04
2.92,120.01
2.52,119.96
2.16,119.91
1.81,119.91
1.49,119.96
1.17,120.03
0.87,120.1
0.6,120.17
0.34,120.33
0.17,120.68
0.07,121.11
0.02,121.55
0.0,121.99
0.02,122.46
0.08,122.92
0.16,123.36
0.25,123.78
0.35,124.21
0.46,124.63
0.55,125.01
0.64,125.36
0.73,125.63
0.81,125.85
0.91,126.06
1.0,126.21
1.08,126.35
1.14,126.41
1.18,126.44
1.25,126.43
1.29,126.27
1.32,126.09
1.34,125.94
1.38,125.86
1.42,125.76
1.45,125.62
1.47,125.49
1.49,125.38
1.5,125.28
1.49,125.19
1.49,125.12
1.5,125.08
1.5,125.05
1.5,125.02
1.49,124.98
1.48,124.9
1.48,124.8
1.48,124.66
1.49,124.44
1.5,124.17
1.51,123.86
1.51,123.51
1.51,123.16
1.5,122.83
1.49,122.48
1.48,122.14
1.47,121.83
1.46,121.54
1.43,121.3
1.4,121.08
1.37,120.89
1.35,120.69
1.32,120.47
1.33,120.27
1.36,120.11
1.43,120.01
1.51,119.95
1.61,119.93
1.7,119.94
1.79,119.96
1.89,120.09
1.98,120.21
2.08,120.39
2.17,120.55
2.28,120.69
2.41,120.8
2.58,120.87
2.8,120.94
3.07,121.02
3.37,121.08
3.72,121.14
4.1,121.19
4.49,121.23
4.88,121.29
5.26,121.39
5.65,121.51
6.09,121.56
6.57,121.58
7.07,121.57
7.6,121.58
8.15,121.59
8.72,121.61
9.29,121.67
9.86,121.75
10.46,121.8
11.05,121.8
11.56,121.84
12.02,121.88
12.48,122.01
12.87,122.11
13.25,122.17
13.58,122.32
13.91,122.54
14.2,122.78
14.52,122.9
14.89,122.95
15.39,122.94
15.95,122.82
18.14,122.65
18.72,122.58
19.28,122.48
19.84,122.36
20.36,122.2
20.83,121.99
21.29,121.73
21.71,121.42
22.13,120.99
22.53,120.55
22.92,119.98
23.3,119.32
23.65,118.51
23.98,117.48
24.28,116.26
24.54,114.98
24.76,113.67
24.95,112.32
25.12,111.0
25.27,109.78
25.43,108.66
25.64,107.65
25.92,106.89
26.24,106.44
26.57,106.15
26.96,105.99
27.37,105.99
27.81,106.12
28.24,106.34
28.67,106.64
29.14,106.98
29.62,107.39
30.11,107.8
30.6,108.25
31.1,108.74
31.62,109.29
32.14,109.82
32.67,110.36
33.2,110.87
33.72,111.33
34.25,111.68
34.78,112.01
35.32,112.29
35.86,112.56
36.4,112.81
36.93,113.09
37.44,113.33
37.91,113.54
38.35,113.74
38.73,113.86
39.06,113.95
39.36,114.06
39.68,114.14
39.98,114.17
40.29,114.17
40.62,114.19
40.95,114.24
41.28,114.33
41.58,114.43
41.83,114.48
42.01,114.47
42.16,114.39
42.26,114.29
42.34,114.21
42.44,114.11
42.58,113.98
42.76,113.92
42.96,113.86
43.18,113.77
43.4,113.63
43.63,113.43
43.87,113.2
44.15,113.11
44.43,113.06
44.75,113.06
45.1,113.13
45.48,113.27
45.91,113.49
46.36,113.78
46.84,114.01
47.39,114.26
47.97,114.54
48.58,114.84
49.15,115.09
49.67,115.28
50.16,115.44
50.65,115.65
51.16,115.86
51.65,116.05
52.12,116.21
52.58,116.36
53.04,116.44
53.55,116.57
54.11,116.79
54.67,117.13
55.21,117.61
55.72,118.14
56.27,118.69
56.82,119.22
57.38,119.73
57.93,120.26
58.5,120.81
59.08,121.26
59.65,121.67
60.21,122.05
60.82,122.3
61.44,122.55
62.1,122.79
62.76,122.98
63.39,123.22
64.07,123.45
64.75,123.71
65.4,124.02
66.05,124.37
66.7,124.67
67.36,124.88
67.99,125.13
68.56,125.45
69.17,125.77
69.78,126.02
70.39,126.28
71.02,126.68
71.68,127.02
72.34,127.35
73.01,127.6
73.71,127.85
74.38,128.13
75.05,128.44
75.69,128.78
76.32,129.07
76.94,129.39
77.57,129.66
78.17,129.95
78.76,130.17
79.32,130.31
79.83,130.38
80.29,130.39
80.71,130.33
81.08,130.26
81.37,130.18
81.59,130.07
81.77,129.94
81.93,129.86
82.07,129.8
82.22,129.74
82.4,129.78
82.58,129.87
82.81,130.0
83.09,130.14
83.42,130.33
83.83,130.53
84.27,130.76
84.76,131.0
85.28,131.25
85.78,131.52
86.27,131.82
86.79,132.1
87.28,132.38
87.77,132.62
88.28,132.82
88.76,133.01
89.23,133.22
89.69,133.39
90.11,133.55
90.51,133.75
90.88,133.99
91.23,134.27
91.56,134.53
91.85,134.78
92.16,134.92
92.44,135.02
92.76,135.14
93.08,135.28
93.43,135.47
93.8,135.68
94.15,135.86
94.51,136.04
94.86,136.24
95.25,136.5
95.65,136.78
96.06,137.08
96.52,137.32
97.01,137.66
97.57,138.05
98.17,138.52
98.8,139.0
99.48,139.49
100.17,140.01
100.87,140.55
101.58,141.08
102.32,141.57
103.07,142.01
103.82,142.5
104.52,143.04
105.23,143.55
105.91,144.12
106.58,144.65
107.27,145.19
107.92,145.68
108.57,146.14
109.25,146.58
109.9,146.99
110.51,147.35
111.1,147.71
111.65,148.06
112.2,148.39
112.73,148.69
113.23,148.9
113.72,149.01
114.16,149.07
114.57,149.02
114.92,148.94
115.28,148.92
115.68,148.85
115.98,148.78
116.28,148.76
116.56,148.73
116.85,148.65
117.17,148.56
117.47,148.58
117.74,148.67
117.99,148.88
118.21,149.15
118.4,149.45
118.6,149.7
118.78,149.88
118.92,149.85
119.03,149.6
119.13,149.18
119.22,148.56
119.31,147.79
119.4,146.99
119.47,146.28
119.53,145.53
119.59,144.81
119.63,144.09
119.64,143.39
119.65,142.63
119.67,141.75
119.7,140.68
119.74,139.53
119.83,138.43
119.96,137.19
120.1,136.03
120.2,134.95
120.34,134.01
120.53,133.12
120.7,132.25
120.88,131.47
121.07,130.82
121.27,130.2
121.47,129.65
121.64,129.18
121.77,128.86
121.88,128.69
121.97,128.61
122.02,128.65
122.05,128.77
122.09,128.86
122.11,129.03
122.14,129.24
122.16,129.47
122.18,129.71
122.19,129.96
122.23,130.23
122.26,130.55
122.31,130.92
122.39,131.33
122.54,131.76
122.79,132.39
123.09,133.22
123.43,134.19
123.81,135.38
124.18,136.79
124.49,138.37
124.72,140.03
124.89,141.72
125.01,143.34
125.06,144.81
125.08,146.19
125.03,147.5
124.93,148.73
124.82,149.83
124.7,150.83
124.59,151.83
124.49,152.78
124.39,153.73
124.28,154.66
124.17,155.53
124.09,156.31
124.01,156.98
123.94,157.54
123.89,158.03
123.83,158.41
123.8,158.75
123.77,159.03
123.77,159.27
123.77,159.5
123.79,159.74
123.83,159.98
123.87,160.21
123.93,160.46
124.05,160.8
124.21,161.18
124.38,161.58
124.57,161.95
124.79,162.28
125.02,162.58
125.24,162.83
